candidate_id,schema_id,run_id,replicate_index,episode_index,step_index,tier,state_cell_id,action_cell_id,action_index,selection_mode,q_value_before
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,27,2,"StateCellId(tier=2, ordinal=45)","ActionCellId(tier=2, ordinal=175)",10,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,28,2,"StateCellId(tier=2, ordinal=58)","ActionCellId(tier=2, ordinal=165)",3,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,29,2,"StateCellId(tier=2, ordinal=61)","ActionCellId(tier=2, ordinal=177)",0,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,30,3,"StateCellId(tier=3, ordinal=54)","ActionCellId(tier=3, ordinal=109)",3,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,31,3,"StateCellId(tier=3, ordinal=53)","ActionCellId(tier=3, ordinal=152)",2,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,32,3,"StateCellId(tier=3, ordinal=54)","ActionCellId(tier=3, ordinal=105)",8,epsilon_explore,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,33,3,"StateCellId(tier=3, ordinal=32)","ActionCellId(tier=3, ordinal=157)",8,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,34,4,"StateCellId(tier=4, ordinal=57)","ActionCellId(tier=4, ordinal=123)",11,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,35,4,"StateCellId(tier=4, ordinal=55)","ActionCellId(tier=4, ordinal=142)",10,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8462cf197-trainrep1,1,0,36,4,"StateCellId(tier=4, ordinal=57)","ActionCellId(tier=4, ordinal=122)",3,greedy,0.0
