candidate_id,schema_id,run_id,replicate_index,episode_index,step_index,tier,state_cell_id,action_cell_id,action_index,selection_mode,q_value_before
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,0,43,2,"StateCellId(tier=2, ordinal=62)","ActionCellId(tier=2, ordinal=156)",7,epsilon_explore,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,0,44,2,"StateCellId(tier=2, ordinal=7)","ActionCellId(tier=2, ordinal=161)",9,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,0,45,2,"StateCellId(tier=2, ordinal=65)","ActionCellId(tier=2, ordinal=165)",8,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,0,46,2,"StateCellId(tier=2, ordinal=7)","ActionCellId(tier=2, ordinal=161)",9,epsilon_explore,-0.25
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,0,47,2,"StateCellId(tier=2, ordinal=65)","ActionCellId(tier=2, ordinal=164)",6,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,0,48,2,"StateCellId(tier=2, ordinal=63)","ActionCellId(tier=2, ordinal=168)",8,epsilon_explore,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,0,49,2,"StateCellId(tier=2, ordinal=62)","ActionCellId(tier=2, ordinal=155)",9,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,0,1,"StateCellId(tier=1, ordinal=9)","ActionCellId(tier=1, ordinal=5)",9,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,1,1,"StateCellId(tier=1, ordinal=7)","ActionCellId(tier=1, ordinal=9)",2,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,2,1,"StateCellId(tier=1, ordinal=18)","ActionCellId(tier=1, ordinal=16)",3,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,3,1,"StateCellId(tier=1, ordinal=7)","ActionCellId(tier=1, ordinal=23)",8,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,4,1,"StateCellId(tier=1, ordinal=9)","ActionCellId(tier=1, ordinal=2)",3,epsilon_explore,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,5,1,"StateCellId(tier=1, ordinal=4)","ActionCellId(tier=1, ordinal=28)",2,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,6,1,"StateCellId(tier=1, ordinal=9)","ActionCellId(tier=1, ordinal=4)",8,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,7,1,"StateCellId(tier=1, ordinal=6)","ActionCellId(tier=1, ordinal=35)",9,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,8,1,"StateCellId(tier=1, ordinal=9)","ActionCellId(tier=1, ordinal=3)",6,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,9,1,"StateCellId(tier=1, ordinal=5)","ActionCellId(tier=1, ordinal=43)",7,greedy,0.0
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,iterated_001-plate-support-candidate-source-local-ratio-iterated-0-c8b8935b4c-trainrep0,0,1,10,1,"StateCellId(tier=1, ordinal=9)","ActionCellId(tier=1, ordinal=1)",2,greedy,0.0
